Description,Measure,Energy
Apples; canned; sweetened; sliced; drained; unheated,1.0 cup slices,137
Apples; dehydrated (low moisture); sulfured; stewed,1.0 cup,143
Apples; dehydrated (low moisture); sulfured; uncooked,1.0 cup,208
Apples; dried; sulfured; stewed; with added sugar,1.0 cup,232
Apples; dried; sulfured; stewed; without added sugar,1.0 cup,145
Apples; dried; sulfured; uncooked,1.0 cup,209
Apples; frozen; unsweetened; heated,1.0 cup slices,97
Apples; frozen; unsweetened; unheated,1.0 cup slices,83
Apples; raw; fuji; with skin,1.0 cup; sliced,69
Apples; raw; gala; with skin,1.0 cup; sliced,62
Apples; raw; golden delicious; with skin,1.0 cup; sliced,62
Apples; raw; granny smith; with skin,1.0 cup; sliced,63
Apples; raw; red delicious; with skin,1.0 cup; sliced,64
Apples; raw; with skin,1.0 cup; quartered or chopped,65
Apples; raw; without skin,1.0 cup slices,53
Apples; raw; without skin; cooked; boiled,1.0 cup slices,91
Apples; raw; without skin; cooked; microwave,1.0 cup slices,95
Applesauce; canned; sweetened; with salt,1.0 cup,194
Applesauce; canned; sweetened; without salt (includes USDA commodity),1.0 cup,167
Applesauce; canned; unsweetened; with added ascorbic acid,1.0 cup,102
Applesauce; canned; unsweetened; without added ascorbic acid (includes USDA commodity),1.0 cup,102
Apricot nectar; canned; with added ascorbic acid,1.0 cup,141
Apricot nectar; canned; without added ascorbic acid,1.0 cup,141
Apricots; canned; extra heavy syrup pack; without skin; solids and liquids,1.0 cup; whole; without pits,236
Apricots; canned; extra light syrup pack; with skin; solids and liquids,1.0 cup; halves,121
Apricots; canned; heavy syrup pack; with skin; solids and liquids,1.0 cup; halves,214
Apricots; canned; heavy syrup pack; without skin; solids and liquids,1.0 cup; whole; without pits,214
Apricots; canned; heavy syrup; drained,1.0 cup; halves,182
Apricots; canned; juice pack; with skin; solids and liquids,1.0 cup; halves,117
Apricots; canned; light syrup pack; with skin; solids and liquids,1.0 cup; halves,159
Apricots; canned; water pack; with skin; solids and liquids,1.0 cup; halves,66
Apricots; canned; water pack; without skin; solids and liquids,1.0 cup; whole; without pits,50
Apricots; dehydrated (low-moisture); sulfured; stewed,1.0 cup,314
Apricots; dehydrated (low-moisture); sulfured; uncooked,1.0 cup,381
Apricots; dried; sulfured; stewed; with added sugar,1.0 cup; halves,305
Apricots; dried; sulfured; stewed; without added sugar,1.0 cup; halves,212
Apricots; dried; sulfured; uncooked,1.0 cup; halves,313
Apricots; frozen; sweetened,1.0 cup,237
Apricots; raw,1.0 cup; halves,74
ARCHWAY Home Style Cookies; Chocolate Chip Ice Box,1.0 serving,119
ARCHWAY Home Style Cookies; Coconut Macaroon,1.0 serving,101
ARCHWAY Home Style Cookies; Date Filled Oatmeal,1.0 serving,100
ARCHWAY Home Style Cookies; Dutch Cocoa,1.0 serving,103
ARCHWAY Home Style Cookies; Frosty Lemon,1.0 serving,112
ARCHWAY Home Style Cookies; Iced Molasses,1.0 serving,118
ARCHWAY Home Style Cookies; Iced Oatmeal,1.0 serving,122
ARCHWAY Home Style Cookies; Molasses,1.0 serving,105
ARCHWAY Home Style Cookies; Oatmeal,1.0 serving,105
ARCHWAY Home Style Cookies; Oatmeal Raisin,1.0 serving,106
ARCHWAY Home Style Cookies; Old Fashioned Molasses,1.0 serving,106
ARCHWAY Home Style Cookies; Old Fashioned Windmill Cookies,1.0 serving,94
ARCHWAY Home Style Cookies; Peanut Butter,1.0 serving,101
ARCHWAY Home Style Cookies; Raspberry Filled,1.0 serving,100
ARCHWAY Home Style Cookies; Reduced Fat Ginger Snaps,1.0 serving,136
ARCHWAY Home Style Cookies; Strawberry Filled,1.0 serving,100
